Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
19173,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19134,Philadelphia,PA,39.991712,-75.11116,-5,1,"39.991712, -75.11116"
19115,Philadelphia,PA,40.09261,-75.04118,-5,1,"40.09261, -75.04118"
19192,Philadelphia,PA,39.951112,-75.167622,-5,1,"39.951112, -75.167622"
19155,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19183,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19185,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19136,Philadelphia,PA,40.041111,-75.02644,-5,1,"40.041111, -75.02644"
19109,Philadelphia,PA,39.949612,-75.163722,-5,1,"39.949612, -75.163722"
19175,Philadelphia,PA,39.990562,-75.12957,-5,1,"39.990562, -75.12957"
17959,New Philadelphia,PA,40.731739,-76.1278,-5,1,"40.731739, -76.1278"
19104,Philadelphia,PA,39.961612,-75.19957,-5,1,"39.961612, -75.19957"
19146,Philadelphia,PA,39.938512,-75.18067,-5,1,"39.938512, -75.18067"
19105,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19101,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19131,Philadelphia,PA,39.981112,-75.22486,-5,1,"39.981112, -75.22486"
19177,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19107,Philadelphia,PA,39.952112,-75.15853,-5,1,"39.952112, -75.15853"
19147,Philadelphia,PA,39.936562,-75.15409,-5,1,"39.936562, -75.15409"
19171,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19154,Philadelphia,PA,40.09146,-74.97719,-5,1,"40.09146, -74.97719"
19196,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19127,Philadelphia,PA,40.026626,-75.22311,-5,1,"40.026626, -75.22311"
19191,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19124,Philadelphia,PA,40.017362,-75.08769,-5,1,"40.017362, -75.08769"
19132,Philadelphia,PA,39.995412,-75.16977,-5,1,"39.995412, -75.16977"
19148,Philadelphia,PA,39.919812,-75.15803,-5,1,"39.919812, -75.15803"
19182,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19111,Philadelphia,PA,40.057661,-75.08018,-5,1,"40.057661, -75.08018"
19119,Philadelphia,PA,40.053511,-75.18858,-5,1,"40.053511, -75.18858"
19102,Philadelphia,PA,39.952962,-75.16558,-5,1,"39.952962, -75.16558"
19112,Philadelphia,PA,39.895677,-75.19044,-5,1,"39.895677, -75.19044"
19184,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19187,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19152,Philadelphia,PA,40.059611,-75.04837,-5,1,"40.059611, -75.04837"
19108,Philadelphia,PA,39.959662,-75.1605,-5,1,"39.959662, -75.1605"
19143,Philadelphia,PA,39.944162,-75.22718,-5,1,"39.944162, -75.22718"
19144,Philadelphia,PA,40.034111,-75.17203,-5,1,"40.034111, -75.17203"
19128,Philadelphia,PA,40.038944,-75.22104,-5,1,"40.038944, -75.22104"
19103,Philadelphia,PA,39.952162,-75.17406,-5,1,"39.952162, -75.17406"
19141,Philadelphia,PA,40.035778,-75.1447,-5,1,"40.035778, -75.1447"
19122,Philadelphia,PA,39.977662,-75.14336,-5,1,"39.977662, -75.14336"
19194,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19114,Philadelphia,PA,40.064257,-75.00155,-5,1,"40.064257, -75.00155"
19150,Philadelphia,PA,40.07226,-75.17106,-5,1,"40.07226, -75.17106"
19116,Philadelphia,PA,40.117413,-75.0154,-5,1,"40.117413, -75.0154"
19138,Philadelphia,PA,40.055861,-75.15654,-5,1,"40.055861, -75.15654"
19151,Philadelphia,PA,39.975929,-75.25256,-5,1,"39.975929, -75.25256"
19172,Philadelphia,PA,39.947321,-75.150011,-5,1,"39.947321, -75.150011"
19181,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19118,Philadelphia,PA,40.07236,-75.20772,-5,1,"40.07236, -75.20772"
19110,Philadelphia,PA,39.950212,-75.163572,-5,1,"39.950212, -75.163572"
19019,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19188,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19178,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19160,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19106,Philadelphia,PA,39.951062,-75.14589,-5,1,"39.951062, -75.14589"
19193,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19170,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19139,Philadelphia,PA,39.961812,-75.23003,-5,1,"39.961812, -75.23003"
19140,Philadelphia,PA,40.012212,-75.14503,-5,1,"40.012212, -75.14503"
19161,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19153,Philadelphia,PA,39.898985,-75.23221,-5,1,"39.898985, -75.23221"
19133,Philadelphia,PA,39.992862,-75.14054,-5,1,"39.992862, -75.14054"
19125,Philadelphia,PA,39.978162,-75.12565,-5,1,"39.978162, -75.12565"
19126,Philadelphia,PA,40.055411,-75.13793,-5,1,"40.055411, -75.13793"
19121,Philadelphia,PA,39.981062,-75.1745,-5,1,"39.981062, -75.1745"
19137,Philadelphia,PA,40.000262,-75.07404,-5,1,"40.000262, -75.07404"
19130,Philadelphia,PA,39.968262,-75.17222,-5,1,"39.968262, -75.17222"
19123,Philadelphia,PA,39.964012,-75.14764,-5,1,"39.964012, -75.14764"
19093,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19135,Philadelphia,PA,40.023611,-75.04966,-5,1,"40.023611, -75.04966"
19179,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19113,Philadelphia,PA,39.874179,-75.26353,-5,1,"39.874179, -75.26353"
19244,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19255,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19120,Philadelphia,PA,40.033944,-75.12118,-5,1,"40.033944, -75.12118"
19197,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19145,Philadelphia,PA,39.922262,-75.18259,-5,1,"39.922262, -75.18259"
19142,Philadelphia,PA,39.922612,-75.23453,-5,1,"39.922612, -75.23453"
19162,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19099,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19149,Philadelphia,PA,40.037711,-75.06658,-5,1,"40.037711, -75.06658"
19092,Philadelphia,PA,40.001811,-75.11787,-5,1,"40.001811, -75.11787"
19129,Philadelphia,PA,40.011562,-75.1839,-5,1,"40.011562, -75.1839"
